timestamp,solar_irradiance,solar_irradiance_forecast
2025-02-24 23:50:00+07:00,0.001,0.0
2025-02-25 00:00:00+07:00,0.006,0.0
2025-02-25 00:10:00+07:00,0.004,0.0
2025-02-25 00:20:00+07:00,0.009,0.0
2025-02-25 00:30:00+07:00,0.007,0.0
2025-02-25 00:40:00+07:00,0.003,0.0
2025-02-25 00:50:00+07:00,0.003,0.0
2025-02-25 01:00:00+07:00,0.012,0.0
2025-02-25 01:10:00+07:00,0.01,0.0
2025-02-25 01:20:00+07:00,0.009,0.0
2025-02-25 01:30:00+07:00,0.015,0.0
2025-02-25 01:40:00+07:00,0.011,0.0
2025-02-25 01:50:00+07:00,0.003,0.0
2025-02-25 02:00:00+07:00,0.003,0.0
2025-02-25 02:10:00+07:00,0.009,0.0
2025-02-25 02:20:00+07:00,0.011,0.0
2025-02-25 02:30:00+07:00,0.009,0.0
2025-02-25 02:40:00+07:00,0.015,0.0
2025-02-25 02:50:00+07:00,0.006,0.0
2025-02-25 03:20:00+07:00,0.008,0.0
2025-02-25 03:30:00+07:00,0.002,0.0
2025-02-25 03:40:00+07:00,0.003,0.0
2025-02-25 03:50:00+07:00,0.005,0.0
2025-02-25 04:00:00+07:00,0.006,0.0
2025-02-25 04:10:00+07:00,0.003,0.0
2025-02-25 04:20:00+07:00,0.005,0.0
2025-02-25 04:30:00+07:00,0.005,0.0
2025-02-25 04:40:00+07:00,0.007,0.0
2025-02-25 04:50:00+07:00,0.004,0.0
2025-02-25 05:00:00+07:00,0.007,0.0
2025-02-25 05:10:00+07:00,0.005,0.0
2025-02-25 05:20:00+07:00,0.005,0.0
2025-02-25 05:30:00+07:00,0.006,0.0
2025-02-25 05:40:00+07:00,0.005,0.0
2025-02-25 05:50:00+07:00,0.003,0.0
2025-02-25 06:20:00+07:00,0.019,1.0
2025-02-25 06:30:00+07:00,0.148,1.0
2025-02-25 06:40:00+07:00,0.392,1.0
2025-02-25 07:50:00+07:00,60.789,28.0
2025-02-25 08:00:00+07:00,69.073,59.0
2025-02-25 08:10:00+07:00,57.34,59.0
2025-02-25 08:20:00+07:00,49.63,59.0
2025-02-25 08:30:00+07:00,52.787,59.0
2025-02-25 08:40:00+07:00,67.288,59.0
2025-02-25 08:50:00+07:00,98.68,59.0
